질문(Query),답변(Answer)
조선 시대에 관한 책 추천해줘,황산벌.
세계사 책 중 흥미로운 것 있어?,"""유럽의 뿌리"""
프로그래밍 입문서 추천해 줄래?,코딩을 배우는 여자
인공지능 기초 책 뭐가 좋아?,"""파이썬을 이용한 인공지능과 기계학습 입문"""
현대 미술에 대한 책 추천해줘,"""미술의 이해"""
경제학 입문서로 좋은 책 뭐 있어?,"""경제학 원론"""
환경 보호에 관한 책 추천해줄래?,"""지구를 위한 일"""
고전 철학에 대한 책 뭐가 좋을까?,플라톤의 국가
프랑스 혁명에 대해 배울 수 있는 책 있어?,레스 미제라블 (Les Misérables)
중세 유럽 역사 책 추천해줘,"""중세 유럽 역사"""
데이터 과학 입문서 추천해줄래?,"""핸즈온 머신러닝"""
한국 문학 소설 추천해줘,"""무정"""
AI 발전사를 다룬 책 뭐가 좋을까?,"""인간은 왜 존재하나"""
심리학 기초 책 추천 부탁해,"""심리학 개론"""
마케팅 전략에 대한 책 추천해줘,마케팅 전략력 (Marketing Strategy)
음악 이론 기초서 추천해줄래?,"""음악 이론"""
신경과학에 대한 입문서 추천해줘,"""신경과학"""
생명공학 기초 책 뭐가 있어?,생명공학 기초 입문
고대 이집트 역사책 추천해줄래?,"""고대 이집트 역사"""
수학 이론서 추천 부탁해,"""수학의 정석"""
리더십에 관한 책 뭐가 좋을까?,"""리더십"""
프로그래밍 고급서 추천해줄래?,'클린 코드'
로마 제국에 대한 책 추천해줘,"""로마 제국"""
현대 시 추천해줄래?,"""빛의 제국"""
자기계발 서적 중 추천할만한 것 있어?,"""내가 사랑하는 모든 것들"""
예술사 기초 책 추천해줘,"""예술사의 탄생"""
러시아 혁명 관련 도서 추천 부탁해,"""러시아 혁명"""
건축 디자인 입문서 추천해줘,"건축 디자인 입문서: ""일러스트레이티드 건축 용어사전"""
독일 철학에 대한 책 뭐가 좋을까?,"""신이 없다"" - 프리드리히 니체"
양자 물리학 입문서 추천 부탁해,"양자 물리학 입문서: ""양자 물리학 소개"""
조경 디자인에 대한 책 뭐가 있을까?,"""정원 디자인"""
고대 그리스 역사서 추천해줘,"""플루타르코스의 소크라테스"""
전쟁사에 대한 책 추천해줄래?,황야의 역사
경제 위기 다룬 책 뭐가 좋을까?,'경제학원론'
현대 물리학에 대한 입문서 추천해줘,관성의 세계
서양 철학 고전 추천해줘,플라톤의 '국가'
영화 이론 기초서 추천 부탁해,"""영화 이론 기초서"""
데이터 분석 책 추천해줄래?,"""파이썬 라이브러리를 활용한 데이터 분석"""
한국 근대사 다룬 책 뭐가 있어?,'한국 현대사'
패션 디자인 입문서 추천해줘,"""패션 디자인 입문서"""
생태학 기초서 추천해줄래?,생태학 기초서: 생태학의 기본 이론과 실제 생태계를 이해하는 방법
미국 역사에 대한 책 추천해줘,"""미국의 인종 문제"""
천문학 입문서 추천 부탁해,"천문학 입문서: ""천체의 운동과 성질"""
동양 철학에 대한 책 추천해줄래?,동양 철학: 동양 철학의 전통과 현대까지
윤리학 기초서 추천 부탁해,"""윤리학 입문"""
현대 건축론 관련 책 추천해줘,"""현대 건축론"""
물리학 고전 추천 부탁해,《뉴턴의 천문학》
범죄학 입문서 추천해줄래?,"""범죄와 형사사회학"""
영문학 소설 추천해줘,"""The Great Gatsby"""
역사철학에 관한 책 뭐가 좋을까?,"""역사철학"""
창의성 개발 책 추천해줘,"""창의성을 부탁해"""
사상사 기초서 추천 부탁해,"""사상사 기초서"""
바이오메디컬 공학에 관한 책 뭐가 좋을까?,"""바이오메디컬 공학 입문"""
심리학 고전 추천해줘,"""심리학 상담"""
로봇공학에 대한 입문서 추천해줄래?,"""로봇공학 입문"""
정보이론 관련 책 추천해줘,"""정보이론"""
영양학 기초서 추천 부탁해,"""영양소 소스북"""
지구과학 책 뭐가 있어?,지구과학 - 환경과 생명을 이해하는 데 필요한 기본 지식
스페인 역사에 대한 책 추천해줄래?,"""스페인 역사"""
문예 창작 입문서 추천 부탁해,"""창작의 공 10"""
연극 이론 기초 책 추천해줘,"""피터 브룩의 연극과 공간"""
고대 아시아 역사서 추천해줄래?,"""고대 아시아 역사"""
인문학 입문서 추천해줄래?,"""인문학 산책"""
철학 입문서로 좋은 책 있어?,"""소크라테스의 변명"""
인도 문명사 다룬 책 뭐가 좋아?,인도의 역사: 문명의 탄생부터 현대까지
한국 건축사 관련 책 추천 부탁해,'한국 건축사'
생물학 고전 추천해줘,"""생물학"""
인권에 관한 책 추천 부탁해,"""인간의 존엄성"""
사회학 이론서 추천 부탁해,"""사회학의 상상력"""
일본 근대사 관련 책 추천해줄래?,일본 근대사 - 이토 히로부미 에세이
사이버 보안 기초 책 뭐가 있어?,"""사이버 보안 입문"""
고대 중국 역사서 추천 부탁해,삼국지
언어학 입문서 추천해줘,"""언어학 입문"""
성격 이론 관련 책 추천해줄래?,"""인간본성"""
프랑스 문학 고전 추천 부탁해,"""모피상의 여인"""
아프리카 역사 다룬 책 뭐 있어?,"""아프리카의 뿌리"""
자연 재해에 관한 책 추천해줄래?,"""The Perfect Storm"""
빅데이터 분석 입문서 추천 부탁해,"""데이터 분석 입문"""
심리 치료에 관한 책 추천해줄래?,"""심리 치료 지침서"""
인공지능 윤리에 대한 책 추천 부탁해,"""인공지능 혁명"""
고전 건축에 관한 책 추천해줘,건축의 이해
창업 관련 책 추천 부탁해,"""리더십의 힘"""
프로그래밍 알고리즘 책 추천해줄래?,알고리즘 문제 해결 전략
도시 계획에 관한 책 뭐가 좋아?,도시 혁명
미학 이론서 추천해줄래?,"""미학 이론서"""
우주 탐사 관련 책 뭐가 있어?,"""천문학자의 아이디어"""
사회 정책에 관한 책 추천 부탁해,"""사회학의 상상력"""
문화인류학 입문서 추천해줘,"""문화인류학"""
종교학 기초서 추천해줄래?,"""종교학 입문"""
문헌 정보학 책 뭐가 있어?,"""정보 검색 엔진 최적화"""
화학 기초서 추천해줄래?,화학 기초서: 화학 개론
고대 로마 문학 추천해줄래?,"""아에네이스"""
윤리학 고전 추천 부탁해,"""니체의 참회록"""
천체 물리학 책 추천해줄래?,별을 바라보는 소녀
초현실주의 미술에 관한 책 추천해줘,"""실존주의자의 미술"""
교육학 입문서 추천해줄래?,'교육학 입문'
한국 현대사 다룬 책 추천해줘,"""한국 현대사"""
바이오테크놀로지 책 뭐가 있어?,"""바이오테크놀로지"""
고전 음악사 책 추천해줄래?,"""바흐와 그의 시대"""
비즈니스 전략 책 추천 부탁해,"""블루 오션 전략"""
