question,answer
현대 건축에 관한 책 뭐가 좋아?,The Architecture of Happiness
건축 역사에 대한 책 추천해줘,The Story of Architecture
문학 이론에 관한 책 뭐가 좋아?,Literary Theory: An Introduction
현대 예술사에 관한 책 뭐가 좋아?,현대 예술의 이해
영국 문학에 관한 책 추천해줘,The Oxford Companion to English Literature
고대 인도 역사에 대한 책 추천해줘,India: A History
고대 서아프리카 역사에 관한 책 뭐가 좋을까?,West Africa before the Colonial Era: A History to 1850
현대 기술에 관한 책 추천해줄래?,The Second Machine Age
생물학 입문서 뭐가 좋을까?,생명의 이해
윤리학에 대한 책 뭐가 좋아?,윤리의 문제
환경 과학 정책에 대한 책 뭐가 좋을까?,The Sixth Extinction: An Unnatural History
세계 경제사에 관한 책 추천해줄래?,부와 빈곤의 역사
수학 이론에 관한 책 뭐가 좋아?,수학이란 무엇인가
고전 건축에 관한 책 뭐가 좋을까?,Classical Architecture: The Poetics of Order
한국 정치사에 관한 책 뭐가 좋아?,한국 정치의 결정적 순간들
환경 과학에 대한 책 뭐가 좋을까?,The Sixth Extinction: An Unnatural History
한국 전통 민속가치관에 대한 책 뭐가 좋을까?,한국의 민속사상
한국 전통 민속민속주에 관한 책 추천해줄래?,한국 전통 민속주
고대 인도 문명에 관한 책 뭐가 좋아?,India: A History
경제 발전에 대한 책 추천해줘,사다리 걷어차기
고대 그리스에 관한 책 뭐가 좋을까?,The Peloponnesian War
한국 문화사에 관한 책 뭐가 좋아?,The Birth of Korean Cool
정치 철학에 대한 책 뭐가 좋을까?,정의란 무엇인가
고대 마야 문명에 대한 책 추천해줄래?,The Maya: Ancient Peoples & Places
고대 이집트 문명에 대한 책 추천해줘,The Rise and Fall of Ancient Egypt
현대 가구 디자인에 대한 책 뭐가 좋을까?,"Furniture Design: An Introduction to Development, Materials and Manufacturing"
고대 로마 역사에 대한 책 뭐가 좋을까?,SPQR: A History of Ancient Rome
동유럽 역사에 관한 책 추천해줄래?,"The Reconstruction of Nations: Poland, Ukraine, Lithuania, Belarus, 1569–1999"
고대 남아프리카 문명에 관한 책 추천해줘,The Lost Kingdoms of Africa
현대 문학에 대한 책 뭐가 좋아?,현대문학 이야기
중국 고전 문학에 관한 책 추천해줘,The Journey to the West
고대 아메리카 역사에 관한 책 추천해줄래?,1491: New Revelations of the Americas Before Columbus
지질학에 관한 책 뭐가 좋아?,The Earth: An Intimate History
스포츠 역사에 대한 책 추천해줘,The Boys in the Boat
현대 경제사에 대한 책 뭐가 좋아?,부와 빈곤의 역사
미생물학에 대한 책 뭐가 좋을까?,Brock Biology of Microorganisms
우주론에 대한 책 추천해줘,블랙홀과 우주론
한국 드라마에 대한 책 뭐가 좋아?,The Birth of Korean Cool
신경 네트워크에 대한 책 뭐가 좋을까?,핸즈온 머신러닝
한국 환경에 대한 책 뭐가 좋아?,한국의 환경문제
비즈니스 전략에 관한 책 뭐가 좋을까?,Good to Great
한국 전통 음악에 관한 책 추천해줘,한국 전통음악의 선율 구조
심리 실험에 대한 책 뭐가 좋을까?,생각에 관한 생각
문학사에 대한 책 뭐가 좋아?,세계문학사
현대 인터랙션 디자인에 대한 책 뭐가 좋을까?,About Face: The Essentials of Interaction Design
프랑스 역사에 대한 책 좋은 거 있어?,A History of France
화학 실험 이론에 관한 책 뭐가 좋아?,The Golden Book of Chemistry Experiments
현대 기술에 관한 책 뭐가 좋을까?,The Second Machine Age
고대 중남미 역사에 대한 책 뭐가 좋아?,1491: New Revelations of the Americas Before Columbus
현대 시스템 디자인에 대한 책 추천해줄래?,Systems Design Interview: An Insider's Guide
고대 서유럽 역사에 관한 책 뭐가 좋을까?,The Birth of the West
고대 그리스 철학에 대한 책 뭐가 좋을까?,The History of Western Philosophy
고대 발칸 문명에 대한 책 추천해줄래?,The Balkans: A Short History
지리학 입문서 뭐가 좋을까?,지리의 힘
물리학 입문서 뭐가 좋아?,시간의 역사
고대 동아시아 문화에 관한 책 뭐가 좋을까?,The Culture of War in China: Empire and the Military under the Qing Dynasty
현대 생물학에 관한 책 뭐가 좋을까?,The Gene: An Intimate History
고대 아시아 문명에 관한 책 뭐가 좋을까?,
물리학 원리에 관한 책 뭐가 좋아?,시간의 역사
고대 그리스 철학에 관한 책 추천해줘,The History of Western Philosophy
고대 문명에 대한 책 뭐가 좋아?,"""총, 균, 쇠"""
생태학에 관한 책 뭐가 좋아?,The Sixth Extinction: An Unnatural History
종교 철학에 관한 책 추천해줄래?,The God Delusion
철학 입문서 추천해줘,철학은 어떻게 살 것인가
고전 문학에 대한 책 추천해줘,The Western Canon
사이버 보안에 대한 책 뭐가 좋을까?,Cybersecurity For Dummies
환경 문제 해결에 대한 책 뭐가 좋을까?,2050 거주불능 지구
연극 이론에 관한 책 뭐가 좋을까?,연극의 이해
데이터 과학에 대한 책 뭐가 좋을까?,Data Science for Business
철학적 논리에 대한 책 추천해줘,Tractatus Logico-Philosophicus
한국 전통에 대한 책 뭐가 좋아?,Korea Old and New: A History
고대 중앙아프리카 역사에 관한 책 뭐가 좋아?,African Kingdoms: An Encyclopedia of Empires and Civilizations
컴퓨터 과학에 대한 책 뭐가 좋을까?,컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론
고대 오세아니아 문명에 대한 책 추천해줘,The Pacific: In the Wake of Captain Cook
현대 천문학에 관한 책 뭐가 좋아?,Cosmos
고대 미노아 문명에 대한 책 추천해줘,The Minoan World
한국 음식에 대한 책 뭐가 좋아?,Korean Home Cooking
음악사에 대한 책 추천해줘,The Rest Is Noise: Listening to the Twentieth Century
고전 문헌학에 관한 책 뭐가 좋을까?,Classical Philology: A Handbook
고대 서유럽 문명에 관한 책 뭐가 좋을까?,The Birth of the West
디지털 미디어에 관한 책 추천해줄래?,Digital Media and Society
한국 경제에 대한 책 뭐가 좋을까?,지속 불가능 대한민국
나노 기술에 대한 책 뭐가 좋을까?,Nanotechnology: A Gentle Introduction to the Next Big Idea
현대 건축에 대한 책 뭐가 좋을까?,The Future of Architecture in 100 Buildings
한국 문학에 관한 책 뭐가 좋을까?,The Vegetarian
데이터 과학에 대한 책 뭐가 좋아?,Data Science for Business
고대 아라비아에 관한 책 뭐가 좋을까?,아랍인의 역사
미술사에 대한 책 뭐가 좋아?,The Story of Art
사회 운동에 대한 책 추천해줘,Rules for Radicals
교육학에 대한 책 뭐가 좋아?,교육의 비밀
과학 철학에 관한 책 뭐가 좋아?,The Structure of Scientific Revolutions
스페인 문학에 대한 책 추천해줄래?,Don Quixote
심리학 기초에 대한 책 추천해줄래?,심리학의 기초
중국 역사에 관한 책 추천해줄래?,The Search for Modern China
한국 민주화에 대한 책 뭐가 좋아?,5·18 민주화운동
현대 서비스 디자인에 대한 책 뭐가 좋아?,지금 당장 실천하는 서비스 디자인 씽킹
고대 사회에 대한 책 추천해줄래?,The Dawn of Everything: A New History of Humanity
심리학에 대한 책 뭐가 좋을까?,사람을 이해하는 심리학
고대 인도 문명에 관한 책 추천해줘,The Wonder That Was India
인문학 개론서 추천해줘,인문학을 만나다
사회학에 대한 책 뭐가 좋아?,사회학: 이해와 적용
고대 북유럽 신화에 관한 책 뭐가 좋을까?,북유럽 신화
중국 철학에 관한 책 뭐가 좋아?,도덕경
미국 정치에 관한 책 뭐가 좋아?,Fear: Trump in the White House
민속학에 관한 책 뭐가 좋아?,민속학의 이해
고대 중동 문명에 관한 책 뭐가 좋을까?,A History of the Ancient Near East
패션 디자인에 대한 책 뭐가 좋을까?,The Fashion Designer Survival Guide
세계 경제 정책에 관한 책 뭐가 좋아?,세계는 평평하다
현대 철학에 대한 책 뭐가 좋아?,정의란 무엇인가
한국 전통 건축에 대한 책 뭐가 좋을까?,Korean Architecture: Breathing with Nature
현대 UI 디자인에 대한 책 뭐가 좋아?,Don't Make Me Think: A Common Sense Approach to Web Usability
고대 언어에 대한 책 추천해줘,"The Horse, the Wheel, and Language: How Bronze-Age Riders from the Eurasian Steppes Shaped the Modern World"
데이터 분석에 대한 책 뭐가 좋을까?,Data Science for Business
비평 이론에 관한 책 추천해줄래?,문화와 비평
심리치료에 대한 책 추천해줘,Feeling Good: The New Mood Therapy
가상 현실 기술에 대한 책 뭐가 좋을까?,Ready Player One
문예 비평에 대한 책 뭐가 좋아?,문학비평의 이해와 활용
고대 잉카 문명에 대한 책 추천해줄래?,The Last Days of the Incas
프랑스 혁명에 대한 책 추천해줘,The French Revolution: A Very Short Introduction
고대 종교에 대한 책 추천해줄래?,The History of God
고대 페르시아 역사에 관한 책 뭐가 좋을까?,고대 페르시아의 역사
천문학에 대한 책 뭐가 좋을까?,코스모스
사회학 이론에 관한 책 뭐가 좋아?,사회학: 이해와 적용
미술 이론에 대한 책 뭐가 좋아?,미술의 이해
현대 건축에 대한 책 뭐가 좋아?,Modern Architecture: A Critical History
고전 음악사에 관한 책 뭐가 좋을까?,The Classical Music Book
고대 중국 역사에 관한 책 추천해줄래?,The Early Chinese Empires: Qin and Han
고대 이집트에 대한 책 뭐가 좋아?,The Rise and Fall of Ancient Egypt
한국 전통 민속구비문학에 대한 책 뭐가 좋아?,한국의 민속구비문학
고대 북유럽에 관한 책 뭐가 좋을까?,The Vikings: A History
현대 과학 기술에 관한 책 뭐가 좋아?,옥스퍼드 과학사
전쟁 역사에 관한 책 뭐가 좋을까?,전쟁과 평화
한국 전통 민속민담에 관한 책 추천해줘,한국의 신화
현대 심리학에 관한 책 뭐가 좋아?,"Thinking, Fast and Slow"
동아시아 문화에 관한 책 추천해줄래?,"The Culture of East Asia: The Civilization of China, Japan and Korea"
음악 이론에 관한 책 뭐가 좋아?,Tonal Harmony
건축 디자인에 대한 책 추천해줘,The Architecture of Happiness
한국 전통 민속민속공예에 관한 책 추천해줘,한국의 전통 민속공예
고대 북유럽 역사에 관한 책 추천해줘,The Sea Wolves: A History of the Vikings
한국 전통 설화에 관한 책 추천해줘,한국의 설화
사회 경제학에 대한 책 추천해줘,Economics of the Public Sector
심리학 실험에 대한 책 추천해줘,"Thinking, Fast and Slow"
디지털 사회에 관한 책 추천해줄래?,The Shallows: What the Internet Is Doing to Our Brains
한국 전통 민속에 대한 책 뭐가 좋을까?,한국의 민속과 전통
생물 다양성에 관한 책 추천해줄래?,생명의 다양성
고대 페르시아에 관한 책 뭐가 좋을까?,고대 페르시아의 역사
생태 윤리에 대한 책 추천해줘,침묵의 봄
사회 발전에 관한 책 추천해줄래?,국가는 왜 실패하는가
문예 사조에 대한 책 뭐가 좋아?,한국 문예사조사
미디어 경제에 대한 책 추천해줘,The Economics of Attention
미국 역사에 관한 책 뭐가 좋아?,A People's History of the United States
미디어 사회에 대한 책 추천해줘,미디어의 사회이론
현대 조각 예술에 대한 책 추천해줄래?,현대 조각: 그 전통과 혁신
근현대사에 관한 책 뭐가 좋아?,세계의 충돌
의학 연구에 관한 책 뭐가 좋을까?,의학 연구를 위한 통계학
고대 철학에 관한 책 뭐가 좋을까?,The History of Western Philosophy
생명공학에 대한 책 뭐가 좋을까?,생명공학의 이해
중국 역사에 관한 책 뭐가 좋을까?,The Search for Modern China
남아프리카 역사에 관한 책 추천해줄래?,The Lost Kingdoms of Africa
고대 중아메리카 역사에 관한 책 뭐가 좋아?,1491: New Revelations of the Americas Before Columbus
전쟁사에 관한 책 뭐가 좋을까?,전쟁과 평화
심리학 이론에 대한 책 추천해줄래?,Psychology: The Science of Mind and Behavior
현대 건축사에 관한 책 뭐가 좋아?,The Story of Architecture
세계 정치 경제에 관한 책 뭐가 좋아?,세계질서
고대 이집트 예술에 대한 책 뭐가 좋아?,The Art of Ancient Egypt
현대 스마트기기 디자인에 대한 책 뭐가 좋을까?,Wearable Technology Design
유럽 정치에 대한 책 뭐가 좋아?,Europe: The Struggle for Supremacy
우주 탐사에 대한 책 뭐가 좋아?,A Brief History of Time
현대 미술에 관한 책 뭐가 좋을까?,현대 미술의 이해
한국 전통 민속사상에 대한 책 뭐가 좋아?,한국의 민속사상
생물학에 관한 책 뭐가 좋을까?,생명의 이해
한국 디자인에 대한 책 뭐가 좋을까?,The History of Korean Design
교육 철학에 관한 책 뭐가 좋을까?,교육의 철학
천문학에 관한 책 추천해줄래?,Cosmos
현대 그래픽 디자인에 대한 책 뭐가 좋아?,타이포그라픽 디자인
패션 역사에 대한 책 뭐가 좋아?,The Fashion Book
한국 전통 예술에 관한 책 뭐가 좋아?,"Korean Art from 1953: Collision, Innovation, Interaction"
유럽 문화에 대한 책 뭐가 좋을까?,Europe: A History
한국 경제사에 관한 책 뭐가 좋아?,지속 불가능 대한민국
현대 정보 디자인에 대한 책 추천해줄래?,정보 디자인 교과서
고고학에 관한 책 추천해줄래?,세상 모든 것의 기원
고대 중동 역사에 관한 책 뭐가 좋을까?,A History of the Ancient Near East
현대 물리학에 관한 책 뭐가 좋을까?,시간의 역사
바이오테크놀로지에 관한 책 뭐가 좋을까?,바이오테크 시대
한국 인물에 관한 책 추천해줄래?,한국의 위대한 인물들
고대 그리스 문명에 관한 책 추천해줄래?,고대 그리스사
한국 전통 민속의상에 관한 책 추천해줄래?,조선시대 우리옷 한복 이야기
경제학 이론에 대한 책 추천해줘,벌거벗은 경제학
디자인 이론에 대한 책 추천해줘,The Design of Everyday Things
한국 전통 민속민속음식에 대한 책 뭐가 좋을까?,한국의 전통 음식
문학 비평에 대한 책 추천해줘,How to Read Literature Like a Professor
현대 정치학에 대한 책 뭐가 좋아?,Politics For Dummies
고대 유럽 문명에 관한 책 뭐가 좋을까?,The Birth of the West
현대 문학에 관한 책 뭐가 좋아?,현대문학의 이해
인류학에 대한 책 뭐가 좋아?,사피엔스
현대 인테리어 디자인에 대한 책 뭐가 좋아?,The Interior Design Reference & Specification Book
심리학 이론에 관한 책 뭐가 좋아?,"Thinking, Fast and Slow"
세계 역사에 대한 책 뭐가 좋아?,A Little History of the World
고대 중국 역사에 대한 책 뭐가 좋아?,The Early Chinese Empires: Qin and Han
정치학 입문서 추천해줘,Politics For Dummies
현대 사회학에 대한 책 뭐가 좋아?,사회학: 이해와 적용
생명 윤리에 대한 책 뭐가 좋을까?,생명의 질문
생태학 연구에 대한 책 뭐가 좋을까?,침묵의 봄
현대 언어학에 관한 책 뭐가 좋을까?,현대 언어학 이해
범죄학에 대한 책 뭐가 좋아?,범죄와의 전쟁
사회 운동에 관한 책 추천해줄래?,사회운동의 이해
지구 과학에 관한 책 뭐가 좋아?,The Earth: An Intimate History
현대 건축에 대한 책 추천해줘,Modern Architecture: A Critical History
생물 윤리에 대한 책 추천해줘,The Immortal Life of Henrietta Lacks
현대 로봇공학에 관한 책 뭐가 좋아?,Introduction to Robotics: Mechanics and Control
한국 전통 민속생활에 대한 책 뭐가 좋을까?,한국의 전통 생활문화
신경과학에 관한 책 뭐가 좋아?,The Tell-Tale Brain
아프리카 역사에 관한 책 추천해줄래?,The Lost Kingdoms of Africa
한국 음식에 관한 책 추천해줄래?,"""한국 전통음식(궁중음식, 반가음식, 향토음식, 시절음식)"""
음악 미학에 대한 책 뭐가 좋아?,The Study of Orchestration
한국 과학에 관한 책 추천해줄래?,The Physics of Everyday Things
프랑스 혁명에 관한 책 뭐가 좋아?,레 미제라블
현대 연극에 대한 책 뭐가 좋을까?,연극의 역사
한국 전통 민속놀이에 관한 책 추천해줄래?,한국민속종합조사보고서 30 (불교민속놀이편)
고대 동아시아 문명에 관한 책 뭐가 좋아?,The Early Chinese Empires: Qin and Han
신경 과학에 대한 책 추천해줘,The Tell-Tale Brain
비즈니스 전략에 대한 책 뭐가 좋을까?,블루 오션 전략
디자인 이론에 대한 책 뭐가 좋아?,디자인의 디자인
고대 의학에 대한 책 추천해줘,The Emperor of All Maladies: A Biography of Cancer
심리 치료에 관한 책 추천해줄래?,Feeling Good: The New Mood Therapy
사진 예술에 대한 책 뭐가 좋아?,Understanding Exposure
한국 전통 종교에 대한 책 뭐가 좋을까?,Korean Shamanism: The Cultural Paradox
정치 철학에 대한 책 추천해줘,정의란 무엇인가
고대 지중해 문명에 대한 책 추천해줄래?,The Penguin Historical Atlas of Ancient Civilizations
한국 전통 민속민속생활에 관한 책 추천해줘,한국의 민속과 풍속
고대 남아메리카 문명에 관한 책 추천해줘,1491: New Revelations of the Americas Before Columbus
현대 정치에 관한 책 뭐가 좋을까?,Politics For Dummies
프랑스 혁명에 대한 책 뭐가 좋아?,레 미제라블
고대 스칸디나비아에 관한 책 뭐가 좋을까?,The Viking Age: A Reader
프랑스 역사에 관한 책 추천해줘,A History of France
프로그래밍 입문서 뭐가 좋아?,컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론
고대 그리스 신화에 관한 책 뭐가 좋을까?,The Greek Myths
도덕 철학에 관한 책 추천해줘,The Nicomachean Ethics
세계 종교에 대한 책 뭐가 좋아?,세계의 종교
한국 전통 의식주에 대한 책 뭐가 좋을까?,한국의 전통주
미국 정치사에 관한 책 뭐가 좋을까?,The Making of America
사회 정의에 관한 책 추천해줄래?,정의란 무엇인가
고대 문명에 관한 책 뭐가 좋을까?,"""총, 균, 쇠"""
동남아시아 역사에 관한 책 추천해줄래?,A History of Southeast Asia: Critical Crossroads
현대 경제학에 대한 책 추천해줄래?,현대 경제의 이해
일본 문화에 대한 책 뭐가 좋을까?,Understanding Japan: A Cultural History
고대 로마에 대한 책 뭐가 좋아?,SPQR: A History of Ancient Rome
한국 전통 민속민속주택에 대한 책 뭐가 좋아?,한국의 전통가옥
한국 전통 생활에 관한 책 추천해줄래?,한국의 전통 생활문화
비즈니스 전략에 대한 책 뭐가 좋아?,블루 오션 전략
고대 켈트 문명에 대한 책 추천해줄래?,The Celts: A Very Short Introduction
고대 중앙아프리카 문명에 관한 책 뭐가 좋아?,African Kingdoms: An Encyclopedia of Empires and Civilizations
고대 문명에 대한 책 뭐가 좋을까?,"""총, 균, 쇠"""
고대 아프리카 문명에 대한 책 뭐가 좋을까?,The Lost Kingdoms of Africa
중국 문학에 대한 책 추천해줄래?,The Three-Body Problem
지구 환경에 관한 책 뭐가 좋아?,거주불능 지구 2050
현대 예술에 대한 책 추천해줄래?,현대 예술: 이해와 감상
한국 전통 민속철학에 대한 책 뭐가 좋을까?,한국철학사상사
중국 역사에 대한 책 뭐가 좋아?,The Search for Modern China
경제학 원리에 관한 책 뭐가 좋아?,경제학의 원리
사회학에 관한 책 추천해줄래?,사회학: 이해와 적용
한국 문학에 대한 책 뭐가 좋을까?,The Vegetarian
윤리학에 관한 책 뭐가 좋아?,정의란 무엇인가
한국 전통 예절에 관한 책 추천해줘,Korean Etiquette: A Guide to Good Manners
고대 문명 연구에 대한 책 뭐가 좋을까?,"""총, 균, 쇠"""
우주 탐사에 관한 책 추천해줄래?,A Brief History of Time
한국 전통 민속시에 대한 책 뭐가 좋을까?,한국의 민속과 전설
한국 전통 민속민속에 관한 책 추천해줘,한국의 민속과 풍속
생태학에 대한 책 뭐가 좋을까?,침묵의 봄
현대 경제에 대한 책 추천해줘,Capital in the Twenty-First Century
고전 음악에 대한 책 추천해줘,The Classical Music Book
음악 이론에 대한 책 뭐가 좋을까?,Tonal Harmony
프로그래밍에 관한 책 추천해줄래?,Clean Code: A Handbook of Agile Software Craftsmanship
기후 과학 이론에 관한 책 뭐가 좋아?,2050 거주불능 지구
독일 철학에 대한 책 뭐가 좋을까?,Being and Time
미국 역사에 대한 책 추천해줄래?,A People's History of the United States
고대 남아메리카 문명에 대한 책 추천해줘,1491: New Revelations of the Americas Before Columbus
재즈 음악에 관한 책 뭐가 좋을까?,The History of Jazz
일본 역사에 관한 책 뭐가 좋아?,국화와 칼
오세아니아 역사에 관한 책 추천해줄래?,The Pacific: In the Wake of Captain Cook
한국 전통 민속전설에 대한 책 뭐가 좋을까?,새롭게 만나는 한국 신화
중세 유럽 역사에 관한 책 뭐가 좋을까?,The Time Traveler's Guide to Medieval England
한국 자연에 관한 책 추천해줘,한국지리 이야기
한국 전통 민속무용에 관한 책 추천해줘, 한국무용의 미학
우주 탐사에 관한 책 뭐가 좋을까?,A Brief History of Time
러시아 문학에 관한 책 추천해줄래?,War and Peace
사회 혁신에 관한 책 추천해줄래?,사회적 기업가 정신
고대 중앙아시아 문명에 관한 책 뭐가 좋을까?,The Lost Heart of Asia
현대 사회 문제에 대한 책 뭐가 좋을까?,사회 동물
기후 과학에 관한 책 뭐가 좋아?,The Uninhabitable Earth: Life After Warming
현대 경제학에 관한 책 뭐가 좋아?,"""Economics: Principles, Problems, and Policies"""
심리학 입문서 추천해줘,Psychology: A Very Short Introduction
한국 영화에 관한 책 추천해줄래?,The Birth of Korean Cool
경제 이론에 대한 책 추천해줘,The Wealth of Nations
현대 심리치료에 관한 책 뭐가 좋아?,꿈의 해석
경영 전략에 대한 책 추천해줘,Good to Great
철학에 대한 책 뭐가 좋아?,철학의 위안
아프리카 역사에 대한 책 뭐가 좋을까?,아프리카의 역사
인도 역사에 대한 책 뭐가 좋을까?,India: A History
지속 가능한 발전에 관한 책 추천해줘,The Uninhabitable Earth: Life After Warming
디지털 혁신에 관한 책 추천해줄래?,The Innovator's Dilemma
소설 창작에 대한 책 뭐가 좋아?,유혹하는 글쓰기
고전 미술사에 관한 책 뭐가 좋을까?,미술의 이해
한국 전통 무용에 대한 책 뭐가 좋을까?,한국무용의 미학
인공지능에 대한 책 뭐가 좋아?,핸즈온 머신러닝
